Line Number,"Holdings Barcode","Call Number","Title","Author's Name","Copyright","Publication Date","Series Title","Series Volume"
549,"B000175","","Beneath Devil's Bridge : a novel","White, Loreth Anne","c18., c2021.","May.","",""
550,"B000176","","In the Deep","White, Loreth Anne","c2020.","2020.","",""
551,"B000415","","The art of network architecture : business-driven design","White, Russ","c2014.","2014.","",""
552,"B000396","","The strategy of Satan : how to detect and defeat him","Wiersbe, Warren W.","c1979.","1979.","",""
553,"B000196","","Of Sea and Shadow","Wight, Will","c02., c2020.","Feb.","",""
554,"B000439","","Complete short fiction","Wilde, Oscar","c1994.","1994.","",""
555,"B000434","","Oscar Wilde's wit and wisdom : a book of quotations","Wilde, Oscar","c1998.","1998.","",""
556,"B000258","","Master Plan : My Journey from Life in Prison to a Life of Purpose","Wilson, Chris","c2020.","2020.","",""
557,"B000416","","Windows PowerShell Step by Step","Wilson, Ed","c2015., c22.","Oct.","",""
558,"B000391","","A small death in Lisbon.","Wilson, Robert","c2002.","2002.","",""
559,"B000195","","Choppy Water","Woods, Stuart","c2021.","2021.","",""
560,"B000501","","Imagine Heaven : Near-Death Experiences, God's Promises, and the Exhilarating Future That Awaits You","Wright, Tristan","c2015.","2015.","",""
561,"B000558","","Dolphins and whales","Wurtz, Maurizio","c2003.","2003.","",""
562,"B000003","","Homunculus (Omnibus) Vol. 3-4","Yamamoto, Hideo","c2023.","2023-09-26†.","Homunculus","3-4"
563,"B000005","","Homunculus (Omnibus) Vol. 5-6","Yamamoto, Hideo","c2023.","2023.","Homunculus","5-6"
564,"B000016","","Homunculus (Omnibus) Vol. 7-8","Yamamoto, Hideo","c2024.","2024.","Homunculus","7-8"
565,"B000054","","Homunculus (Omnibus) Vol. 9-10","Yamamoto, Hideo","c2024.","2024.","Homunculus","9-10"
566,"B000337","","Vietnam Veteranos : Chicanos Recall the War","Ybarra, Lea","c1., c2004.","April.","",""
567,"B000178","","The devil's arithmetic","Yolen, Jane","c1990.","1990.","",""
568,"B000215","","War and peace","–¢–æ–ª—Å—Ç–æ–π, –õ–µ–≤","c1993.","1993.","",""
569,"B000368","","The Three-Body Problem","ÂàòÊÖàÊ¨£","c12., c2016.","Jan.","",""
570,"SP000036","100 MAX 2017 SP036","El Poder De Ser Significativo","Maxwell, John C.","","","",""
571,"LP000025","153.98 WEI 2016 LP025","Geography of Genius","Weiner, Eric","","","",""
572,"SP000022","158 COV 2013 SP022","La Sabiduria y el Legado","Covey, Stephen R.","","","",""
573,"SP000038","158.1 HAB 2019 SP038","Inquebrantables","Habif, Daniel","","","",""
574,"SP000037","158.1 SHE 2020 SP037","Piensa Como Un Monje","Shetty, Jay","","","",""
575,"SP000035","200 PRI 2000 SP035","Un Ancla Para El Alma","Pritchard, Ray","","","",""
576,"SP000029","230 CHO 2007 SP029","Conocer a Dios","Chopra, Deepak","","","",""
577,"SP000024","230 GEO 2014 SP024","Un Papa Conforme al Corazon de Dios","George, Jim","","","",""
578,"SP000019","230 HUC 2013 SP019","Liberando Bendiciones Familiares","Huch, Larry (y) Huch, Tiz","","","",""
579,"SP000021","248.5 CAH 2009 SP021","Lo ⁄nico Que No Padr·s Hacer En El Cielo","Cahill, Mark","","","",""
580,"SP000041","248.5 CAH 2009 SP021","Lo ⁄nico Que No Padr·s Hacer En El Cielo","Cahill, Mark","","","",""
581,"SP000025","299.792 RUI 1998 SP025","Los Cuatros Acuerdos","Ruiz, Miguel","","","",""
582,"SP000039","360.5 TRE 2021 SP039","Trejo","Trejo, Danny and Logue, Donal","","","",""
583,"LP000023","362.196 SKL 2010 LP023","Immortal Life Of Henrietta Lacks, The","Skloot, Rebecca","","","",""
584,"SP000034","372.21 ROU 2000 SP034","Emilio O La EducaciÛn","Rousseau, Jean Jacques","","","",""
585,"LP000031","420 OXF 2002 LP0031","Oxford Large Print Dictionary & Thesaurus","Oxford University Press","","","",""
586,"SP000042","770 KUR 2000 SP0042","Vive la famille!","Kuruvita, Philip and Azario, Stefano, and Kaplan, John","","","",""
587,"LP000009","790.43 FOX 2009 LP009","Always Looking Up: The Adventures of and Incurable Optimist","Fox, Michael J.","","","",""
588,"LP000001","797.12 BRO 2015 LP001","Boys In The Boat, The","Brown, Daniel James","","","",""
589,"LP000028","920 HAR 2023 LP028","Spare","Harry, Prince","","","",""
590,"SP000023","929.2 MCC 1997 SP023","Las Cenizas de Angela","McCourt, Frank","","","",""
591,"SP000018","943.1 FRA 1993 SP018","El Diario de Anne Frank","Frank, Otto","","","",""
592,"SP000008","FIC ALL 2001 SP008","La Casa de los Espiritus ","Allende, Isabel","","","",""
593,"LP000002","FIC BLO 2001 LP002","Hope To Die","Block, Lawrence","","","",""
594,"SP000061","FIC BOY 2006 SP0061","El niÒo con el pijama de rayas","Boyne, John","","","",""
595,"SP000026","FIC BRO 2009 SP026","El Simbolo Perdido","Brown, Dan","","","",""
596,"LP000003","FIC BRO 2013 LP003","Inferno","Brown, Dan","","","",""
597,"SP000043","FIC BRU 2015 SP000043","Dan Winchester - Echad A Volar Cuervos - 393","Bruguera (ed.) and Cuatreros (ed.)","","","",""
598,"SP000044","FIC BRU 2015 SP000044","Gun Man - øPiedad Para Los Vencidos? - 390","Bruguera (ed.) and Cuatreros (ed.)","","","",""
599,"SP000045","FIC BRU 2015 SP000045","Coleccion Cuartreros -- El Cobarde De Syracusa -- 529","Bruguera (ed.) and Cuatreros (ed.)","","","",""
600,"SP000046","FIC BRU 2015 SP000046","Peter Colt - La Balada De Los Cobardes","Bruguera (ed.) and Cuatreros (ed.)","","","",""
601,"SP000047","FIC BRU 2015 SP000047","U.S. Marshal -- Su Propia Muesca -- 534","Bruguera (ed.) and Cuatreros (ed.)","","","",""
602,"SP000048","FIC BRU 2015 SP000048","J.J. Remington -- Aguila Roja -- 388","Bruguera (ed.) and Cuatreros (ed.)","","","",""
603,"SP000049","FIC BRU 2015 SP000049","J.J. Remington -- La Muerte Fue Su Premio -- 392","Bruguera (ed.) and Cuatreros (ed.)","","","",""
604,"SP000050","FIC BRU 2015 SP000050","J.J. Remington -- Un Lugar En La Muerte -- 396","Bruguera (ed.) and Cuatreros (ed.)","","","",""
605,"SP000051","FIC BRU 2015 SP000051","Estefania -- Lazos De Acero -- 244","Bruguera (ed.) and Cuatreros (ed.)","","","",""
606,"SP000052","FIC BRU 2015 SP000052","Marcial La Fuente Estefania -- Donovan Significa Muerte -- 250","Bruguera (ed.) and Cuatreros (ed.)","","","",""
607,"SP000053","FIC BRU 2015 SP000053","Estefania -- Un Mal Rural -- 249","Bruguera (ed.) and Cuatreros (ed.)","","","",""
608,"SP000054","FIC BRU 2015 SP000054","Estefania -- El Clan De Los Holiday -- 250","Bruguera (ed.) and Cuatreros (ed.)","","","",""
609,"SP000055","FIC BRU 2015 SP000055","Marcial La Fuente Estefania -- Bruguera -- Olor A Zorro -- 308","Bruguera (ed.) and Cuatreros (ed.)","","","",""
610,"SP000056","FIC BRU 2015 SP000056","Marcial La Fuente Estefania -- Bruguera -- La Ley De Los Fuertes -- 306","Bruguera (ed.) and Cuatreros (ed.)","","","",""
611,"SP000057","FIC BRU 2015 SP000057","Marcial La Fuente Estefania -- Bruguera -- Ranchos Rivales -- 315","Bruguera (ed.) and Cuatreros (ed.)","","","",""
612,"SP000058","FIC BRU 2015 SP000058","Marcial La Fuente Estefania -- Bruguera -- Viejos Camaradas -- 317","Bruguera (ed.) and Cuatreros (ed.)","","","",""
613,"SP000059","FIC BRU 2015 SP000059","Marcial La Fuente Estefania -- Bruguera -- Balas Delatoras -- 320","Bruguera (ed.) and Cuatreros (ed.)","","","",""
614,"SP000060","FIC BRU 2015 SP000060","Marcial La Fuente Estefania -- Bruguera -- Jack, Manos Sucias -- 318","Bruguera (ed.) and Cuatreros (ed.)","","","",""
615,"SP000015","FIC BUN 2019 SP015","El Progreso del Peregrino","Bunyan, John","","","",""
616,"LP000035","FIC CHI 2020 LP035","Sentinel, The -- A Novel","Child, Lee, and Child, Andrew","","","Jack Reacher",""
617,"SP000009","FIC CHO 2014 SP009","El Alma Del Liderazgo","Chopra, Deepak","","","",""
618,"SP000010","FIC CIS 2002 SP010","Caramelo","Cisneros, Sandra","","","",""
619,"LP000005","FIC CLA 2008 LP005","Dashing Through The Snow","Clark, Mary Higgins","","","",""
620,"LP000004","FIC CLA 2009 LP004","Just Take My Heart","Clark, Mary Higgins","","","",""
621,"LP000007","FIC COL 1997 LP007","Hornet's Nest","Cornwell, Patricia","","","Andy Brazil 03 (Large Print)",""
622,"LP000006","FIC COL 2010 LP006","Mockingjay","Collins, Suzanne","","","Hunger Games 3",""
623,"SP000032","FIC DES 2006 SP032","La Llave De Sarah","de Rosnay, Tatiana","","","",""
624,"SP000020","FIC ESC 2015 SP020","Cancion de Cuna de Auschwitz","Escobar, Mario","","","",""
625,"SP000016","FIC FER 1997 SP016","La Casa de la Laguna","Ferre, Rosario","","","",""
626,"LP000008","FIC FOR 2001 LP008","Veteran, The","Forsyth, Frederick","","","",""
627,"SP000011","FIC FRA 2016 SP011","La Viajera del Tiempo","Franco, Lorena","","","",""
628,"SP000012","FIC FRA 2016 SP012","Las Horas Perdidas","Franco, Lorena","","","",""
629,"SP000033","FIC FRA 2016 SP033","Lo Que El Tiempo OlvidÛ","Franco, Lorena","","","",""
630,"LP000010","FIC GOD 2012 LP010","Treacherous Skies","Goddard, Elizabeth","","","",""
631,"SP000013","FIC GRE 2015 SP013","Noches Blancas","Green, John / Johnson, Maureen / Myracle, Lauren","","","",""
632,"SP000005","FIC GRI 2011 SP005","La Confesion","Grisham, John","","","",""
633,"LP000030","FIC GRI 2019 LP0030","Guardians, The","Grisham, John","","","",""
634,"LP000029","FIC HEM 1952 LP0029","Old Man and the Sea, The","Hemingway, Ernest","","","",""
635,"LP000032","FIC KEN 2019 LP032","How To Be An Antiracist","Kendi, Ibram X.","","","",""
636,"SP000006","FIC KLI 2016 SP006","El Tren de los Huerfanos","Kline, Christina Baker","","","EspaÒol",""
637,"LP000012","FIC L'A 2009 LP012","Frontier Stories Vol. 7","L'Amour, Louis","","","Frontier Stories 7",""
638,"LP000013","FIC LAR 2010 LP013","Girl Who Kicked The Hornet's Nest, The","Larrson, Stieg","","","",""
639,"LP000011","FIC LEE 1993 LP011","To Kill A Mocking Bird","Lee, Harper","","","",""
640,"SP000007","FIC LOP 2013 SP007","El Senor de los Cielos","Lopez, Andres","","","",""
641,"SP000028","FIC LOW 2006 SP028","El Color de la Muerte","Lowell, Elizabeth","","","",""
642,"SP000040","FIC MAR 2005 SP0040","Tormenta De Espadas","Martin, George R.R.","","","Juego de Tronos 3",""
643,"LP000014","FIC MAY 2012 LP014","Within Reach","Mayberry, Sarah","","","",""
644,"SP000014","FIC MAZ 2017 SP014","Los Ninos de Irena","Mazzeo, Tilar J.","","","",""
645,"LP000015","FIC MCE 2010 LP015","Solar","McEwan, Ian","","","",""
646,"LP000016","FIC O'B 1990 LP016","Things They Carried, The","O'Brien, Tim","","","",""
647,"LP000017","FIC PAT 2010 LP017","Beach Road","Patterson, James","","","",""
648,"SP000002","FIC PAT 2017 SP002","Corazon Indomable","Patterson, James & York, Sabrina","","","James Patterson's BookShots: Flames",""
649,"SP000003","FIC PAT 2017 SP003","Corazon Indomable","Patterson, James & York, Sabrina","","","James Patterson's BookShots: Flames",""
650,"LP000022","FIC REA 1989 LP022","George Washington/Marie Antoinette","Reader's Digest (Cunliffe, Marcus/Zweig, Stefan)","","","",""
651,"LP000021","FIC REA 2005 LP021","Summer I Dared, The/Maximum Security","Reader's Digest (Delinsky, Barbara/Connors, Rose)","","","",""
652,"LP000020","FIC REA 2010 LP020","Lucky One, The/The Sugar Queen","Reader's Digest (Sparks, Nicholas/Allen, Sarah)","","","",""
653,"LP000019","FIC REA 2015 LP019","Blackberry Winter/ A Street Cat Named Bob","Reader's Digest (Jio, Sarah/Brown, James)","","","",""
654,"LP000018","FIC REE 2016 LP018","Unraveling The Past","Rees, Elisabeth","","","",""
655,"SP000027","FIC SHI 2009 SP027","Metamorfosis Historietas MANGA","Shinozawa, Kozumi","","","",""
656,"SP000030","FIC STO 2010 SP030","Heroe","Stoeker, Fred","","","",""
657,"SP000031","FIC TRI 2008 SP031","Superheroe: Terror en Leotardos","Trine, Greg","","","",""
658,"LP000024","FIC WEC 2013 LP024","Golem And The Jinni","Wecker, Helene","","","",""
659,"LP000026","FIC WEI 2011 LP026","Martian, The","Weir, Andy","","","",""
660,"LP000033","FIC WEI 2011 LP0033","Martian, The","Weir, Andy","","","",""
661,"SP000001","FIC WIN 1998 SP001","Celda De Coyotes","Winchester, Dan","","","",""
662,"LP000027","FIC WOO 2021 LP027","Foul Play","Woods, Stuart","","","Stone Barington",""
663,"LP000034","FIC WOO 2021 LP0034","Foul Play","Woods, Stuart","","","Stone Barington",""
664,"SP000017","FIC YOU 2013 SP017","La Encrucijada","Young, Paul","","","",""
665,"SP000004","FIC ZAF 2008 SP004","El Juego Del Angel","Zafon, Carlos Ruiz","","","",""
       
